id,followers,name,popularity,CLASSES,lof_results
7qbMZFoPRwWU9m3Xi1KV83,490963.0,Tainá Costa,55,50_60_class,1
37czgDRfGMvgRiUKHvnnhj,19625.0,Öwnboss,58,50_60_class,1
3QYmec82Yj7fjTMvrt49E4,259617.0,Soweto,54,50_60_class,1
7htxZTR76qcXYJylEmkLiJ,22055.0,MC Braz,54,50_60_class,1
4NOFYnTaifQQHEmsx3nDn0,14007.0,Música Para Bebés Exigentes de I’m In Records,57,50_60_class,1
0Jpjc7Fc84inIqLhOvBU1Q,461441.0,Grupo Clareou,54,50_60_class,1
2K4WKKLOh0k8NwbzDRgIqi,212343.0,PH e Michel,54,50_60_class,1
3TjDKq8HEiL9RlLfeZYtOh,1740.0,MC WS,54,50_60_class,1
5R18GNmvBWGTfBAG0Xy8WT,85220.0,Zezo,53,50_60_class,1
3BD2ifHl4tkgwVU5KIlR5I,40837.0,Kalli,54,50_60_class,1
1iKxeI1ud2pXD4U9atJ4RS,110798.0,Mc Balakinha,54,50_60_class,1
6CAOElXrWvhb594GKitCch,22346.0,Trunks,54,50_60_class,1
4QZjx3AfLqJhGYkmWAEUm7,20569.0,Rooftime,64,60_70_class,1
1THj0JI7zld7YDsWERcSUz,302069.0,Isaias Saad,62,60_70_class,1
4OFUU6MkPNc2X96UJMlR0h,338046.0,Sadstation,61,60_70_class,1
6XQrv3AiNUS61JFK1VITTU,41169.0,Jean Tassy,56,50_60_class,1
2PK9pWPbpzjPDM2HVR1NEO,194310.0,MAR ABERTO,56,50_60_class,1
5hPHLE5ssifxHX5bhK8iXR,291024.0,FP do Trem Bala,56,50_60_class,1
4CtW1JCmaMN6PhgBBQHxpX,268099.0,San Joe,56,50_60_class,1
36SRwzRkX5zW3ABjJrevqX,199677.0,Dadá Boladão,56,50_60_class,1
62T0up856eHZQ8BE6V6fJs,31812.0,Vk Mac,56,50_60_class,1
21LI2q2QDyaNjyfXaWWTOE,247936.0,Marcelo Jeneci,56,50_60_class,1
0awYrHoDgY7bTDlAb3wGuF,5773.0,Ventura,56,50_60_class,1
0M8rmgpYMtvYbHvXD3cHkN,442782.0,Rodolfo Abrantes,55,50_60_class,1
3IMEatbnQs6Sumu77hmtOr,84.0,Keviin,55,50_60_class,1
1DEukDFi4pMT4Y0bfGxJTB,837777.0,Imaginasamba,55,50_60_class,1
2JFpfD9p2vTjRCH8XLeO0l,89528.0,LetoDie,55,50_60_class,1
5g9XiEkkceEjmAGXfWHpt5,53837.0,Vytinho NG,56,50_60_class,1
6u3oPV9fJJnIOKvKMoROmG,35497.0,Toque Dez,55,50_60_class,1
3GM0VyM1n1qvk0v2PfXX4n,33078.0,Tiago Mac,55,50_60_class,1
2SDYnXWEAiTFyyKyRDy79I,93.0,DJ Neeh,55,50_60_class,1
5fL22gqogawtrDsvcNVyyC,6713.0,Ralk,55,50_60_class,1
2pV4eqEWsHrgwSbuAg2fmi,81767.0,MC Teteu,55,50_60_class,1
6U98XWjrUPnPtPBjEprDmu,176779.0,Don L,55,50_60_class,1
0xA8Rmfl9di0sVaPl9AyR9,100582.0,DJ Yuri Martins,51,50_60_class,1
4TqlcgMFDryY96KWcvrhTv,71358.0,Seraphine,66,60_70_class,1
5icwIVKIEdJwzeHjQ6XYJG,193.0,DJ Braga Oficial,64,60_70_class,1
0Pl4c5YACE9Hwq4l48d9kv,359647.0,Biu do Piseiro,63,60_70_class,1
5sgcRRQA3HrL1AVk6oMUeg,309233.0,VMZ,63,60_70_class,1
736JbivCkAkdLP9xOA3jLs,13732.0,Th CDM,63,60_70_class,1
4ZyBq7WEL7d2dDH0BkVDPX,19251.0,Sueth,62,60_70_class,1
15tTVhFpH8EFXeDgO9xkRO,52665.0,Trey Lewis,61,60_70_class,1
78nr1pVnDR7qZH6QbVMYZf,689102.0,Baco Exu do Blues,63,60_70_class,1
29lz7gs8edwnnfuXW4FhMl,227963.0,Against Me!,57,50_60_class,1
2HgKf6VcQtGmAKpNXidtiC,53961.0,Dallas Smith,55,50_60_class,1
0GxOdKrtD5oUmQROcCs8M4,81282.0,Great Big Sea,54,50_60_class,1
7qpy5KY3DVrezixTl6mziA,135441.0,Propagandhi,51,50_60_class,1
7t6GsqGAwrj1kwYbvNX0hN,81092.0,Classified,54,50_60_class,1
6Shas1ACrMl25XHgTrzxeo,190828.0,Hedley,55,50_60_class,1
5IcGbIAgdns0R5EJKHMjCQ,267598.0,LOCASH,58,50_60_class,1
0P54cVemq1DCHUfUMlWAoN,44861.0,TOBi,53,50_60_class,1
6ekcMUMZoiX2HBbQGZgNh1,42894.0,Souldia,56,50_60_class,1
4dOtX7sKkyguhRj1Gkvvl7,2901.0,Keelan Donovan,52,50_60_class,1
6q2peHL8h2vUGvWNbsIjii,42479.0,Payroll Giovanni,51,50_60_class,1
7sKxqpSqbIzphAKAhrqvlf,271339.0,Walker Hayes,60,50_60_class,1
2nGZqSJU7K5mkZCjxSlu5J,15125.0,Roney,52,50_60_class,1
6A7uqgC2N1nUhrCLAytHxN,187051.0,PUP,57,50_60_class,1
6cHNKcqDykgDCRgnvKdSfK,12769.0,Skrizzly Adams,56,50_60_class,1
4M1fxLs3K8DkyCaTEpdfo0,93316.0,Blue Rodeo,52,50_60_class,1
37lYaYPWOHjKXBD33S6LNv,32093.0,The Reklaws,57,50_60_class,1
6RuIbUAQK9fmBq08AbY6XE,14358.0,Brooks Jefferson,60,50_60_class,1
6VOaUBrKfzd49nIAzjVKmm,59364.0,Brett Kissel,55,50_60_class,1
0gSAxSvAApQc71cTpoXDFu,37532.0,Tenille Arts,62,60_70_class,1
2XdtmipGVPmA62ptDgX8QC,61447.0,Henry Jamison,59,50_60_class,1
392I9I5QMSyoA0FmI5pVfx,168106.0,Yung Tory,53,50_60_class,1
47cHAE0NFwzGOlc3L4oszT,45814.0,Enima,58,50_60_class,1
3IMC79WXhjXUkDHhpsSN8n,47533.0,FouKi,56,50_60_class,1
6wyGyjn9ixZDXBwcapqapJ,22645.0,Burna Bandz,53,50_60_class,1
6FXCc0FAXCsG2WFR1plJjx,31749.0,Lil Berete,51,50_60_class,1
4YdeEI1YlIPMBgxdDNc39K,9951.0,Beamon,51,50_60_class,1
7jVv8c5Fj3E9VhNjxT4snq,4562300.0,Lil Nas X,89,80_90_class,1
2Ruhhm5oH4pxgsEUVZcaHm,35628.0,Houdini,56,50_60_class,1
6pmxr66tMAePxzOLfjGNcX,854983.0,Beirut,62,60_70_class,1
3euYhX3kx2U3iIKuzbeXv7,13380.0,Willi wills wissen,52,50_60_class,1
4KFslNCZ95aY7AFPPmmJhU,6861.0,Christoph Maria Herbst,54,50_60_class,1
0sAQ6ln7fHovbG6Tk2Phrf,54274.0,Anna-Maria Zimmermann,53,50_60_class,1
5LxUyP2QqR8Jj1Rj4hmjju,8934.0,Die Pinguine aus Madagascar,51,50_60_class,1
3KvAx6XEkbBWha4GGoCyHU,2401.0,Jorg Schneider,52,50_60_class,1
4VxxrJptDJKGOsKvb8jcVe,121506.0,Lo & Leduc,54,50_60_class,1
44M8i4BCwuBbmcQWwMaOfH,72783.0,Stu Larsen,52,50_60_class,1
4Cfx9c45o8GigUIYzDie9B,76925.0,Patent Ochsner,51,50_60_class,1
1kpOu18jZiAc9C4gcwA7yv,636.0,Paul Bühlmann,52,50_60_class,1
30RSfdFlYhqrXr6c4c2xJJ,17714.0,Kunz,52,50_60_class,1
6YgNQsBEuLr4wrGBVZexN8,129641.0,MC Bilal,55,50_60_class,1
6MuRtv1oYgP3pyqjALslDV,902.0,Ines Torelli,51,50_60_class,1
